carname,mpg,cylinder,displacement,horsepower,weight,accelerate,modeyear,carname,2000
chevrolet chevelle malibu,18,8,307,130,1.752,12,70,chevrolet chevelle malibu,1
buick skylark 320,15,8,350,165,1.8465,11.5,70,buick skylark 320,1
plymouth satellite,18,8,318,150,1.718,11,70,plymouth satellite,1
amc rebel sst,16,8,304,150,1.7165,12,70,amc rebel sst,1
ford torino,17,8,302,140,1.7245,10.5,70,ford torino,1
ford galaxie 500,15,8,429,198,2.1705,10,70,ford galaxie 500,1
chevrolet impala,14,8,454,220,2.177,9,70,chevrolet impala,1
plymouth fury iii,14,8,440,215,2.156,8.5,70,plymouth fury iii,1
pontiac catalina,14,8,455,225,2.2125,10,70,pontiac catalina,1
amc ambassador dpl,15,8,390,190,1.925,8.5,70,amc ambassador dpl,1
dodge challenger se,15,8,383,170,1.7815,10,70,dodge challenger se,1
plymouth 'cuda 340,14,8,340,160,1.8045,8,70,plymouth 'cuda 340,1
chevrolet monte carlo,15,8,400,150,1.8805,9.5,70,chevrolet monte carlo,1
buick estate wagon (sw),14,8,455,225,1.543,10,70,buick estate wagon (sw),1
toyota corona mark ii,24,4,113,95,1.186,15,70,toyota corona mark ii,3
plymouth duster,22,6,198,95,1.4165,15.5,70,plymouth duster,1
amc hornet,18,6,199,97,1.387,15.5,70,amc hornet,1
ford maverick,21,6,200,85,1.2935,16,70,ford maverick,1
datsun pl510,27,4,97,88,1.065,14.5,70,datsun pl510,3
volkswagen 1131 deluxe sedan,26,4,97,46,0.9175,20.5,70,volkswagen 1131 deluxe sedan,2
peugeot 504,25,4,110,87,1.336,17.5,70,peugeot 504,2
audi 100 ls,24,4,107,90,1.215,14.5,70,audi 100 ls,2
saab 99e,25,4,104,95,1.1875,17.5,70,saab 99e,2
bmw 2002,26,4,121,113,1.117,12.5,70,bmw 2002,2
amc gremlin,21,6,199,90,1.324,15,70,amc gremlin,1
ford f250,10,8,360,215,2.3075,14,70,ford f250,1
chevy c20,10,8,307,200,2.188,15,70,chevy c20,1
dodge d200,11,8,318,210,2.191,13.5,70,dodge d200,1
hi 1200d,9,8,304,193,2.366,18.5,70,hi 1200d,1
datsun pl510,27,4,97,88,1.065,14.5,71,datsun pl510,3
chevrolet vega 2300,28,4,140,90,1.132,15.5,71,chevrolet vega 2300,1
toyota corona,25,4,113,95,1.114,14,71,toyota corona,3
ford pinto,25,4,98,94,1.023,19,71,ford pinto,1
amc gremlin,19,6,232,100,1.317,13,71,amc gremlin,1
plymouth satellite custom,16,6,225,105,1.7195,15.5,71,plymouth satellite custom,1
chevrolet chevelle malibu,17,6,250,100,1.6645,15.5,71,chevrolet chevelle malibu,1
ford torino 500,19,6,250,88,1.651,15.5,71,ford torino 500,1
amc matador,18,6,232,100,1.644,15.5,71,amc matador,1
chevrolet impala,14,8,350,165,2.1045,12,71,chevrolet impala,1
pontiac catalina brougham,14,8,400,175,2.232,11.5,71,pontiac catalina brougham,1
ford galaxie 500,14,8,351,153,2.077,13.5,71,ford galaxie 500,1
plymouth fury iii,14,8,318,150,2.048,13,71,plymouth fury iii,1
dodge monaco (sw),12,8,383,180,2.4775,11.5,71,dodge monaco (sw),1
ford country squire (sw),13,8,400,170,2.373,12,71,ford country squire (sw),1
pontiac safari (sw),13,8,400,175,2.57,12,71,pontiac safari (sw),1
amc hornet sportabout (sw),18,6,258,110,1.481,13.5,71,amc hornet sportabout (sw),1
chevrolet vega (sw),22,4,140,72,1.204,19,71,chevrolet vega (sw),1
pontiac firebird,19,6,250,100,1.641,15,71,pontiac firebird,1
ford mustang,18,6,250,88,1.5695,14.5,71,ford mustang,1
mercury capri 2000,23,4,122,86,1.11,14,71,mercury capri 2000,1
opel 1900,28,4,116,90,1.0615,14,71,opel 1900,2
peugeot 304,30,4,79,70,1.037,19.5,71,peugeot 304,2
